cod_entite,typ_entite,lib_entite,long_wgs84,lat_wgs84,x_centroid,y_centroid,cod_versio,dpt,id,nom,hdf_sociodemographie-hdf_sociodemographie_menrp,hdf_sociodemographie-hdf_sociodemographie_pop_mun
"6239100",QLM,GUARBECQUE,2.489174102900000,50.610738611300000,610778.752359239966609,2624045.597957700025290,"2021","62","1",Projet,"603","1425"
"6239500",QLM,GUIGNY,2.000783792800000,50.330648869100003,575999.481378430034965,2592868.114195299800485,"2021","62","1",Projet,"58","139"
"6239600",QLM,GUINECOURT,2.224870301100000,50.348666353399999,591987.666110459947959,2594830.330926700029522,"2021","62","1",Projet,"9","17"
"6239800",QLM,GUISY,2.003587890100000,50.387214323899997,576226.270753270015121,2599170.982728499919176,"2021","62","1",Projet,"117","270"
"6239900",QLM,HABARCQ,2.612251354200000,50.305773877999997,619628.580518290051259,2590079.109592899680138,"2021","62","1",Projet,"266","676"
"6240000",QLM,HAILLICOURT,2.574122873100000,50.472882628999997,616851.194162460044026,2608693.870957000181079,"2021","62","1",Projet,"2033","4886"
"6240400",QLM,HALLOY,2.424923563000000,50.157795523300003,606277.235790280043148,2573559.909778600092977,"2021","62","1",Projet,"92","217"
"6240700",QLM,HAM EN ARTOIS,2.459053034900000,50.590874718899997,608645.441807840019464,2621827.488250600174069,"2021","62","1",Projet,"412","992"
"6241100",QLM,HARAVESNES,2.129798723300000,50.287518120000001,585190.121154580032453,2588030.012564599979669,"2021","62","1",Projet,"18","50"
"6241500",QLM,HAUTE AVESNES,2.640455968800000,50.328370874400001,621631.844966380042024,2592604.618283099960536,"2021","62","1",Projet,"174","445"
"6241600",QLM,HAUTECLOQUE,2.313121677400000,50.335277942200001,598280.431764830020256,2593332.866670200135559,"2021","62","1",Projet,"84","218"
"6241800",QLM,HAUTEVILLE,2.573749838200000,50.273307842299999,616891.588368059950881,2586452.420667300000787,"2021","62","1",Projet,"128","316"
"6243000",QLM,HENU,2.526347372600000,50.154515474999997,613538.103158259997144,2573207.253087399993092,"2021","62","1",Projet,"58","164"
"6243300",QLM,HERICOURT,2.254124329300000,50.345563822499997,594073.410411230055615,2594481.989655499812216,"2021","62","1",Projet,"36","95"
"6243400",QLM,LA HERLIERE,2.558332256300000,50.206502105799999,615811.454529509996064,2579005.398932000156492,"2021","62","1",Projet,"56","149"
"6243500",QLM,HERLINCOURT,2.300328308400000,50.345383271999999,597368.419600359979086,2594459.353619200177491,"2021","62","1",Projet,"40","104"
"6243600",QLM,HERLIN LE SEC,2.329082780500000,50.356602860899997,599419.170969840022735,2595709.088587900158018,"2021","62","1",Projet,"66","171"
"6243800",QLM,HERMAVILLE,2.584453931600000,50.321894675899998,617639.009889430017211,2591868.942051300313324,"2021","62","1",Projet,"212","540"
"6244100",QLM,HERMIN,2.558849587700000,50.418417136199999,615781.863963649957441,2602620.282492999918759,"2021","62","1",Projet,"84","213"
